Index,Question,Proposed Solution,Answer
39,"The rate at which a certain substance dissolves in water is proportional to the product of the amount undissolved and the difference c1-c2, where c1 is the concentration in the saturated solution and c2 is the concentration in the actual solution. if the saturated, 50 grams of water would dissolve 20 grams of the substance. if 10 grams of the substance is placed in 50 grams of water and half of the substance is then dissolved in 90 minutes, how much will be dissolved in 3 hours?","The rate at which a certain substance dissolves in water is proportional to the product of the amount undissolved and the difference  c1 - c2, whereas,     c1 is the concentration in the saturated solution;     c2  is the concentration in the actual solution.  We are given that in 50 grams of water, a saturated solution can dissolve 20 grams of the substance, so  c1 = 20/50 = 0.4;     initially, 10 grams of the substance are placed in the water;     after 90 minutes, half of it is dissolved (5g dissolved, 5g undissolved).    We need to  find how much is dissolved after 3 hours (180 minutes).  Let  u(t) be the amount of substance undissolved at time t and  d(t) = 10 - u(t) the amount dissolved. The rate of dissolving is: du/dt = -k * u(t) * (c1 - c2)  Since  c2 = (10 - u(t))/50, and  c1 = 20/50, we have  du/dt = -k * u(t) * ( (20 - (10 - u))/50 ) = -k/50 * u(t)(u(t) + 10)  Solving the ODE, we have  du/(u(u + 10)) = -k/50 dt  Using partial fractions: 1/(u(u + 10)) = 1/10 ( 1/u - 1/(u + 10) )  Integrating both sides: 1/10 ln| u/(u + 10) | = -k/50 t + C → ln| u/(u + 10) | = -k/5 t + C1  → u/(u + 10) = C e^(-kt/5)  Using t = 0,  u(0) = 10  → 10/20 = 1/2 = C   → u/(u + 10) = 1/2 e^(-kt/5)  Using the second condition to find k, at  t = 90,  u = 5:  5/15 = 1/3 = 1/2 e^(-18k) → e^(-18k) = 2/3 → k = -1/18 ln(2/3) ≈ 0.0225  The dissolved amount after 180 minutes(t = 180),  u/(u + 10) = 1/2 e^(-36k) ≈ 1/2 * e^(-0.81) ≈ 1/2 * 0.445 = 0.2225  → u/(u + 10) = 0.2225 → u = 0.2225(u + 10) → u = 2.225 + 0.2225u → 0.7775u = 2.225 → u ≈ 2.86  → d(180) = 10 - u ≈ 10 - 2.86 = 7.14  grams will be dissolved after 3 hours.",7.14
40,"A 12 volt battery is connected to a series circuit in which the inductance is 1/2 henry and the resistance is 10 ohms. Find the current i  when the time is 2 seconds?","Using Kirchhoff’s Voltage Law (KVL), the sum of voltage drops equals the supplied voltage: E = L di/dt + Ri(t)  Substituting the given values: 12 = 1/2 di/dt + 10i(t) → di/dt + 20i(t) = 24   Finding the integrating factor, we have: μ(t) = e^∫ 20  dt = e^(20t)  Multiplying both sides of the ODE by  e^(20t), we have: e^(20t) di/dt + 20 e^(20t) i = 24 e^(20t) → d/dt (e^(20t) i) = 24 e^(20t)  Integrating both sides: e^(20t) i = ∫ 24 e^(20t) dt = 24/20 e^(20t) + C = 6/5 e^(20t) + C  Solving for  i(t), we have i(t) = 6/5 + C e^(-20t)  Apply the initial condition  i(0) = 0: 0 = 6/5 + C → C = -6/5  Hence,i(t) = 6/5(1 - e^(-20t))   Calculating at  t = 2, we have i(2) = 6/5(1 - e^(-40))  Since  e^(-40) ≈ 4.25e-18, which is approximately 0, we therefore have i(2) ≈ 6/5 = 1.2 A",1.2
41,"The population of Ussinda Katota village of Tchicala Tcholohanga municipality decreases at a rate proportional to the number of its inhabitants present at any time t. If the population of Ussinda Katota village was 60,000 in 2010 and 40,000 in 2020, what will be the population in 2030?","We are given:   P(0) = 60,000  (population in 2010),   P(10) = 40,000  (population in 2020),   We want to find  P(20), the population in 2030.  The ODE equation is: dP/dt = -kP → P(t) = P0 e^(-kt)  where  P0 = 60000  and  k > 0 is the decay constant.  Using  P(10) = 40000 to find the decay Constant k, we have  P(10) = 60000 e^(-10k) = 40000 → e^(-10k) = 2/3 → -10k = ln(2/3) → k = -1/10 ln(2/3) = 1/10 ln(3/2)  k ≈ 1/10  0.4055 = 0.04055   Now calculating for  P(20), we have : P(20) = 60,000 * e^(-20k) = 60,000 * e^(-0.811)  e^(-0.811) ≈ 0.4447 → P(20) ≈ 60,000 * 0.4447 = 26,682  Therefore,the population in 20230 will be approximately 26682",26682
42,"The air in a room whose volume is 10000 cubic feet tests 0.15 percent carbon dioxide. Starting at t=0, outside air testing 0.05 percent carbon dioxide is admitted at the rate of 5000 cubic feet per minute. What is the  percentage of carbon dioxide in the air in the room after 3 minutes?","Let:  C(t)  - percentage of CO2 in the room at time t (in minutes).   C(0) = 0.15 ; incoming concentration:  Cin = 0.05 ;   Room volume:  V = 10000 ft^3 ;   Flow rate: R = 5000 ft^3/min  The rate of change of CO2 concentration is the difference between incoming and outgoing CO2:  dC/dt = R/V ( Cin - C(t) ) = 5000/10000 (0.05 - C(t)) = 0.5(0.05 - C)  Solving the ODE, we have,  dC/(0.05 - C) = 0.5  dt  Integrate both sides: ∫ 1/(0.05 - C)  dC = ∫ 0.5  dt → -ln|0.05 - C| = 0.5t + K  →0.05 - C = A e^(-0.5t) → C(t) = 0.05 - A e^(-0.5t)   Apply initial Condition,   C(0) = 0.15, we have  0.15 = 0.05 - A → A = -0.10 → C(t) = 0.05 + 0.10 e^(-0.5t)   Computing for ( C(3), we have  C(3) = 0.05 + 0.10 e^(-1.5) , and using  e^(-1.5) ≈ 0.22313, we have  C(3) ≈ 0.05 + 0.10 * 0.22313 = 0.07231  After 3 minutes, the CO2 the percentage of carbon dioxide in the air in the room will be  approximately 0.0723 percent",0.0723
43,"A body weighing 8 lb falls from rest toward the earth from a great height As it falls, air resistance acts upon it, and the assume that this resistance (in lb) is numerically equal to 2 v, where v is the velocity (in ft/sec.). Use ODE to find the velocity  fallen at 10 seconds?","Assume acceleration due to gravity  g = 32 ft/s^2.  By Newton’s second law,  Weight - Resistance = m dv/dt  Given that:   Weight  W = 8 lb → m = W/g = 8/32 = 0.25 slug    Resistance  R = 2v   Substitute into Newton’s law: 8 - 2v = 0.25 * dv/dt → dv/dt = 1/0.25 (8 - 2v) = 4(8 - 2v) = 32 - 8v   Solving the ODE, we have dv/dt = 32 - 8v → dv/(32 - 8v) = dt  Integrate both sides: ∫ 1/(32 - 8v)  dv = ∫ dt → -1/8 ln|32 - 8v| = t + C  Multiply both sides by  -8: ln|32 - 8v| = -8t + C1 → 32 - 8v = Ce^(-8t)  Solve for  v(t) ; v(t) = 4 - C/8 e^(-8t)   Applying the  initial Condition,   v(0) = 0,   0 = 4 - C/8 → C = 32  Thus, v(t) = 4 - 4e^(-8t)   Solving for  v(10)  v(10) = 4 - 4e^(-80) ≈ 4 - 4(0) = 4 ft/s  So, the velocity of the falling body after 10 seconds is approximately 4 ft/s, which is the terminal velocity due to the air resistance.",4
44,"A sponge dries in an open air at a rate that is proportional to its moisture content. A sponge hung in open air loses half of its moisture content content in 30 minutes. Assume that the weather conditions remain uniform during this process,  how long will it take to lose 95 percent of its moisture content?","Let M(t) be the moisture content of the sponge at time t (in minutes). Hence, dM/dt = -k M  → dM/M = -kdt  →  ln M = -kt + C →  M(t) = M0 e^(-kt)  where  M0  is the initial moisture content.  We are told that after 30 minutes the sponge has lost half its moisture: M(30) = 1/2 M0 = M0 e^(-30k) → 1/2 = e^(-30k) → -30k = ln(1/2) = -ln(2) → k = ln(2)/30  Now we want to find the time t such that only 5% of the original moisture remains: M(t) = 0.05 M0 = M0 e^(-kt) → 0.05 = e^(-kt) → -kt = ln(0.05) → t = ln(1/0.05)/k = ln(20)/k  Substituting k = ln(2)/30: t = ln(20)/(ln(2)/30) = 30 * ln(20)/ln(2)  Using approximate values: t ≈ 30 * 2.9957/0.6931 ≈ 30 * 4.3219 ≈ 129.7  minutes  Therefore, it will take approximately 129.7 minutes for the sponge to lose 95 percent  of its moisture content.",129.7
45,"A 3μF capacitor is charged through a 15kΩ resistor from a 24V battery.  Calculate how long will it take for the voltage across the capacitor to reach 6V?","Using Kirchhoff’s law in an RC charging circuit, we have  V0 = VR(t) + VC(t)  VR(t) = i(t)R = RC dVC/dt, since  i(t) = C dVC/dt  Hence, V0 = RC dVC/dt + VC → dVC/dt + 1/RC VC = V0/RC  Substituting  the values, we have  R = 15,000Ω,  C = 3 * 10^{-6}F → RC = 15,000 * 3 * 10^{-6} = 0.045seconds  So the ODE becomes: dVC/dt + 1/0.045 VC = 24/0.045 → dVC/dt + 22.2222 VC = 533.333   Solving the  ODE, we have the integrating factor given by: μ(t) = e^∫ 22.2222 dt = e^(22.2222 t)  Multiply the ODE by μ(t): d/dt (VC e^(22.2222 t)) = 533.333 e^(22.2222 t)  Integrate both sides:  VC e^(22.2222 t) = 533.333/22.2222 e^(22.2222 t) + C = 24 e^(22.2222 t) + C → VC(t) = 24 + C e^(-22.2222 t)   Applying the initial condition  VC(0) = 0, 0 = 24 + C → C = -24 → VC(t) = 24 - 24e^(-22.2222 t)   When VC(t) = 6V,  6 = 24 - 24e^(-22,2222 t)    → e^(-22,2222 t) = 3/4  Taking the natural logarithm, we have  -22.2222 t = ln(3/4) → t = -1/22.2222 ln(3/4)  ln(3/4) = -0.2877    → t =0.2877/22.2222   ≈ 0.01295 seconds",0.01295
46,"A wooden block weighing 50 lb is released from the top of a plane inclined at 30° with the horizontal. The coefficient of sliding friction between the block and the plane is 0.4. Find the velocity at the end of 4 seconds.","Converting weight to mass, we have W = 50  lb,  g = 32  ft/s^2,  m = W/g = 50/32 = 1.5625 . The  forces along the incline is  θ = 30°,  sin θ = 1/2,  cos θ = √3/2 ≈ 0.866.  Gravity component:   Fgravity = W sin θ  = 50 * 1/2 = 25  lb.  Normal force:  N = W cos θ  = 50 * 0.866 ≈ 43.3  lb.  Friction (opposing motion):  Ffriction = μ N = 0.4 * 43.3 ≈ 17.32  lb.  Net force down the plane:  Fnet = Fgravity - Ffriction = 25 - 17.32 = 7.68  lb.  The ODE with Newton's second law is given by  Fnet = m  a = m dv/dt → 7.68 = 1.5625 dv/dt → dv/dt = 7.68/1.5625 ≈ 4.9152.   Integrating (constant acceleration), we have dv/dt = 4.9152 → v(t) = 4.9152 t + C.  The initial condition v(0) = 0 gives C = 0, hence  v(t) = 4.9152 t.   When t = 4s  v(4) = 4.9152 * 4 = 19.6608 ft/s.",19.6608
47,"A  boat is being towed at the rate of 18 ft/sec. At the instant when the towing line is cast off, a man takes up the oars and begin to row with a force of 20 pounds in the direction of the moving boat. If the man and the boat together weigh 480 pounds, and the resistance is equal to 7/4 v pounds, find the speed of the boat at the end of 30 seconds."," Converting weight to mass, we have  The weight is: W = 480 lb,  g = 32ft/s^2 → m = W/g = 480/32 = 15 slugs   Applying Newton's Second Law, we have  Fnet = Frow - Fresist = 20 - 7/4 v  hence, m dv/dt = 20 - 7/4 v → 15 dv/dt = 20 - 7/4 v → dv/dt = 4/3 - 7/60 v   Solving the first-order linear ODE, we have  We write: dv/dt + 7/60 v = 4/3  The integrating factor: μ(t) = e^∫ 7/60 dt = e^(7/60 t)  Multiplying both sides by μ(t), we have d/dt ( v e^(7/60 t) ) = 4/3 e^(7/60 t)  Integrate: v e^(7/60 t) = ∫ 4/3 e^(7/60 t) dt = 4/3 * 60/7 e^(7/60 t) + C = 80/7 e^(7/60 t) + C  → v(t) = 80/7 + C e^(-7/60 t)  Applying the  initial condition, whereas, initial velocity is v(0) = 18  18 = 80/7 + C → C = 18 - 80/7 = 46/7  So the velocity function is: v(t) = 80/7 + 46/7 e^(-7/60 t)  Now  for t = 30, we have  v(30) = 80/7 + 46/7 e^(-7/60 * 30)  = 80/7 + 46/7 e^(-3.5)  Using e^(-3.5) ≈ 0.0302: v(30) ≈ 80/7 + 46/7 * 0.0302 = (80 + 1.3892)/7 ≈ 81.3892/7 ≈ 11.627 ft/s",11.627
48,"An object on a sled is pulled by a force of 10 pounds across a frozen pond. The object and sled weigh 64 pounds. The coefficients of static and sliding friction are negligible. However, the force of the air resistance is twice the velocity of the sled. If the sled starts from rest, find its velocity at the end of 5 seconds?","Weight: W = 64lb Acceleration due to gravity: g = 32 ft/s^2  m = W/g = 64/32 = 2 slugs   Applying Newton’s Second Law,  Net force:  Fnet = Fapplied - Fresistance = 10 - 2v   Newton’s second law:  Fnet → 2 dv/dt = 10 - 2v → dv/dt = 5 - v   Solving  first-order linear ODE, we have dv/dt + v = 5   Integrating factor: μ(t) = e^∫ 1  dt = e^t   Multiply both sides by e^t: e^t dv/dt + e^t v = 5e^t → d/dt (v e^t) = 5e^t   Integrate both sides: v e^t = 5e^t + C → v(t) = 5 + C e^(-t)   Apply the Initial Condition,  v(0) = 0  0 = 5 + C → C = -5   Hence the general  solution is: v(t) = 5 - 5e^(-t)   When t = 5, we have  v(5) = 5 - 5e^(-5)   Using e^(-5) ≈ 0.0067: v(5) ≈ 5 - 5(0.0067) = 5 - 0.0335 = 4.9665 ft/s  Therefore, v(5) ≈ 4.97 ft/s",4.97
49,"In 2024, an investment of 15,000,000 kwanzas was made with the goal of gaining profit. However, due to inflation in Angola, the amount lost value, decaying continuously at 10 percent  per year. What will be the total amount after 5 years?"," dP/dt = -k P, where k = 0.10.   Separating the  variables and integrating, we have dP/P = -k  dt, ∫ 1/P  dP = -k ∫ dt, ln|P| = -kt + C.   Solve for P(t), we have P(t) = e^C e^(-kt) = C1 e^(-kt), where C1 = e^C   Apply the initial condition,  t=0, P(0) = 15,000,000, so 15,000,000 = C1 e^0 = C1, thus P(t) = 15,000,000 * e^(-0.10 t).   Calculate the amount after 5 years, we have,  P(5) = 15,000,000 * e^(-0.10 * 5) = 15,000,000 * e^(-0.5). Using e^(-0.5) ≈ 0.6065, we have  P(5) ≈ 15,000,000 * 0.6065 = 9,097,500 kwanzas After 5 years, the investment will be worth approximately 9,097,500 kwanzas.",9097500
